약어,원어,설명,참고자료
MEB,Modular Electric drive Matrix platform,폭스바겐그룹(Volkswagen Group)에서 개발한 전기자동차 전용 플랫폼. 세단부터 크로스오버 그리고 SUV에 이르기까지 다양한 차종에 적용 가능.,-
MEMORY ERASE,MEMORY ERASE,CRUISE 기억을 지우는 장치.,-
MEP,MEAN-EFFECTIVE PRESSURE,평균 유효 압력.,-
MF BATT,MAINTENANCE FREE BATTERY,배터리액 총전이나 보수가 불필요한 배터리,-
MFC,Multi Function Camera,다기능 전방 인식 카메라.,-
MFR,Multi Face Reflector,"다면 반사경 - 전구 뒤의 반사판을 다각도로 위치시켜 빛이 사방으로 퍼지는 것을 막고, 보다 멀리까지 도달할 수 있게끔 도와주는 방식",-
MG,MAP GEAR(차기 변속단),시프트 선(변속 맵)에 의해 현재 지시되고 있는 변속단.,-
MH,MAN HOUR,공수. 한사람이 1시간동안 할수 있는 작업량.,-
MHSG,Mild Hybrid Starter & Generator,마일드 하이브리드 차량의 엔진 시동 제어 장치. 엔진을 시동하거나 엔진의 출력에 의해 발전시키는 기능을 수행함.,-
MIL,MALFUNCTION INDICATOR LIGHT,"엔진 경고등. 엔진 또는 차량에 문제 발생시, 차량 계기판에 점등되는 것",-
MIN,MINIMUM,최소,-
MIP,MADE IN PLANT,"당사 제작품.OTR안쪽의 판넬 즉, BRAKET류…",-
MIS,MULTI-INFORMATION SYSTEM,"운전석의 우측에 설치된 영상 화면을 통해서 현재 차량의 위치를 확인하고, 지도를 통한 목적지 찾기 등 효율적인 주행을 위한 정보 장치.",-
MISFIRE MONITORING-TOOTH ERROR CORRECTION,MISFIRE MONITORING-TOOTH ERROR CORRECTION,-,-
MISTAKE PROOFING,MISTAKE PROOFING,부적합품 제조를 예방하기 위한 공정 또는 설계의 개선수단으로 그 좋은 예가 FOOL PROOF이다,-
ML,MOTOR LIGHT,경하중 엔진 오일. API 분류.,-
MLM,Mood Lamp Module,차량 내 무드램프 제어를 위한 유닛,-
m-LSD,mechanical-Limited Slip Differential,-,-
N,안승민,2023-01-30 am 11:46:27,-
MM,MOTOR MODERATE,중하중 엔진 오일. API 분류.,-
MOCI,Motor On Caliper Intergration,MOC(Motor On Caliper)와 ESC(Electronic Stability Control) 통합한 시스템.,-
MOD,Mobility On Demand,수요응답형 버스. 주민들의 이동 수요에 따라 실시간으로 노선을 바꾸며 탑승객을 찾아가는 버스,-
MODE ACTR,MODE ACTUATOR,"송풍 방향 조절기. 공조시스템의 덕트에서의 공기를 벤트(vent), 플로어(floor) 또는 디프론트(defront) 출구로 나가는 풍향을 제어하는 기능",-
MODULATOR,MODULATOR,변조기.,-
Monocoque,-,모노코크. 승용차에 주로 사용되는 일명 '일체형 차체',-
MOOD LP,MOOD LAMP,버스에서 중앙 좌우로 늘어선 등을 말하는데 이 등은 형광 및 백열등 겸용으로 상황에 따라 제어할 수 있다.,-
MOSFET,METAL OXIDE SEMICONDUCTOR FIELD EFFECT TRANSISTOR,"반도체 결정의 표면에 실리콘 등의 얇은 절연산화막을 형성하고 그 위에 전극을 형성, 금속게이트를 배치한 구조로 된 반도체 스위칭 소자를 말함.",-
MOST,MULTIMEDIA ORIENTED SYSTEMS TRANSPORT,차량용 멀티미디어 시스템의 표준 네트워크 기술 AV 시스템들과 네비게이션 등 멀티미디어 제품들을 한가닥의 광케이블로 제어할 수 있게 해줌,-
MP,MASS PRODUCTION,양산(대량양산),-
MPH / mph,MILES PER HOURS,매시간당 마일수.,-
MPI,Multi Point Injection,다점 연료 분사. 가장 기본적인 엔진 형태로 엔진 속 실린더마다 연료분사 밸브인 인젝터를 설치하여 연료를 분사하는 방식.,-
MPPT,Maximum Power Point Tracking,"최대 전력점 추종. 태양광 일조량, 기온, 부하 등의 조건이 변화할 때, 태양전지의 출력전력이 최대전력점 근접에서 작동하도록 태양광 어레이가 받는 임피던스를 계속적으로 조정하는 시스템",-
MPR,MANDATORY PRODUCT REQUIREMENT,필수제품 요구사항.,-
MPROP,MAGNETIC PROPORTIONING VALVE,연료량 조절밸브,-
MPROP_WTS,MPROP & WATER TEMPERATURE SENSOR,"연료량 조절밸브 & 냉각수 온도 감지 센서(WTS :엔진 냉각수의 온도를 측정하는 센서입니다. 엔진의 공회전 스피드에 영향을 미치며 라디에이터 팬을 작동시키는 기준 WTS = ECTS, CTS ECTS = ENGINE COOLANT TEMPERATURE SENSOR CTS = COOLANT TEMPERATURE SENSOR",-
MPS,MOTOR POSITION SENSOR,트로틀 밸브의 개폐 시기를 알수 있도록 전동 동기 피니언 위치를 감지.,-
MPV,MULTI PURPOSE VECHICLE,"레져, 스포츠, 등을 동시에 만족하는 다목적 차.",-
MPV,MULTIPURPOSE VEHICLE(다목적차),"출.퇴근용 및 LEISURE용등, 다목적(화물 및 10인 이하 승객 운송등)용도로 사용",-
MR,Mid-ship engine Rear wheel drive,엔진이 앞바퀴와 뒷바퀴 사이에 있고 뒷바퀴를 구동시키는 방식. 무거운 부품인 엔진이 중앙 가까이에 있어 코너링시 유리하기때문에 스포츠카에 주로 적용,-
MRM,Minimum Risk Maneuver,긴급 상황에서 사고 위험 요소를 줄여주는 자율주행차량 기술.,-
MROS,MONTHLY REPLENISHMENT ORDER SYSTEM,월 정규 주문 시스템.,-
MRP,MATERIAL REQUIPMENTS PLANNING,자재 소요 계획. 일정 계획에 의거 필요한 자재에 대한 계획을 작성.,-
MS,MATERIAL SPECIFICATION,재질 사양. SPEC NO. 201-01 참조.,-
MS,MODE SWITCH,"파워, 이코노미, 홀드모드등 정해진 변속 패턴을 절환하는 스위치.",-
MS,MOTOR SERVICE,고하중 엔진 오일. API 분류.,-
MSA,Measurement System Analysis,"공정 결과에 영향을 주는 측정변동 요인(측정자, 측정기 등)을 분석하여 측정 Data의 신뢰성을 확보함으로써 올바른 공정해석 및 공정개선을 유도하기 위한 분석기법이다.",-
MSD,Motion System Design,-,-
MSDI,Multiple Switch Detection Interface IC,Analog switch의 입력을 감지하는 Multiplexer 역할.,-
MSLA,Manual Speed Limit Assist,"수동 속도제한 보조. 운전자가 특정 속도 이상으로 주행하는 것을 원하지 않는 경우 속도 제한 설정 →. 제한 속도를 초과하여 주행할 경우, 차량 주행속도가 제한속도로 내려갈 때까지 경고 및 경고음이 발생.",-
MSLA,Manual Speed Limit Assist,-,-
MSM,Multi String Manager,BMU 제어기,-
MSP,Mission Services Platform,"Mission Services Platform의 Main Compute. 나머지 MSS와 4G/5G 연결, Fleet Management(차량 이동, 승객 탑승/하차, 모니터링), User Experience(원격 승객 도움서비스, HMI, Entertain 등)",-
MTC,MANUAL TEMP.CONTROLLER,수동 컨트롤러,-
MTG,MOUNTING PLANT,장착.,-
MTR,MOTOR,모타.,-
MTS,MOBILE TELEMATICS SYSTEM,휴대 전화기를 이용하여 서비스를 이용하기 위한 유니트,-
MTS,MOBILE TELEMETICS SYSTEM,"위치추적 시스템과 무선통신 기술을 결합하여 실시간 교통정보, 원격 차량관리, 긴급구난 등의 정보를 제공하는 기능을 가진 SYSTEM",-
MULE-CAR,MULE CAR,엔진선행개발 목적으로 기존 양산차에 신엔진만 탑재하여 엔진성능평가 실시를 위해 제작하는차,-
MUSB,MUlti-channel Slow Blow fuse,멀티 채널 슬로우 블로우 퓨즈 (다경로 슬로우 플로우 퓨즈). 초기 기동시 돌입전류 (Inrush current)를 발생하는 Fan 과 같은 유도성(Inductiv) 부하에 적용하는 S/B를 여러개 연결 할 수 있는 멀티 퓨즈.,-
MUT,MULTI UNIT TEST,자가 진단 장치.,-
MUTIC,MULTI PURPOSE TIMING CONTROLLER,TIME CONTROL UNIT를 한 개의 다목적 CONTROLLER로 통합.,-
MUX,MULTIPLEX WIRRING SYSTEM,전자제어 시스템 사이의 수십회선의 WIRE 접속을 한 두개의 WIRE로 접속하는 통신 방식을 사용하는 시스템.,-
MY,MODEL YEAR,"상품의 시장수명, 초기 시장에서부터 FMC까지의 기간. 차량 상품성 개선을 위한 변경 및 EMISSION 대응 등 변경범위가 매우 적은 제품 개발을 의미",-
N/A,NO APPLICATION,미적용 표기방법,-
N/BACK SW,NETURAL BACK SWITCH,"A/TM 장착 차량에서 변환 레버를 N, P에 위치하지 않으면 전원이 연결되지 않아 시동이 걸리지 않게 하는 장치.",-
N/FILTER,NOISE FILTER,잡음 제거기. ECU의 통제를 받아 ENG의 균일 폭발 및 엔진 부조를 방지하여 소음과 진동을 줄여 승차감을 좋게하는 시스템.,-
N/MDL,NEW MODEL,신규 모델의 개발.,-
NA,NATURAL ASPIRATION,자연 흡기.,-
NAS,NAS stands for North American Specification (cars manufactured for North American market),"북미, 캐나다 사양",-
NAVI,NAVIGATION,"위성으로부터 최단거리, 도로 막힘 상황 등의 도로에 관한 정보를 받아 운전자에게 알려주는 장치.",-
NCA,NiCoAl,"니켈+코발트+알루미늄.대용량 배터리 제조에 적합하지만 충, 방전 가능 횟수가 수 백번 정도에 불과하다.",-
NCAP,New Car Assesment Program,신차안전도평가. 소비자에게 자동차의 안전도 관련 정보를 제공함으로서 안전한 자동차의 소비를 촉진하고 자동차업체들이 보다 안전한 자동차를 제작하도록 유도하기 위해 해당 지역/국가에 판매되는 자동차에 대한 안전도를 시험하는 것.,-
NCC,Navigation-based Cruise Control,내비게이션 기반 크루즈 컨트롤,-
NCC,Navigation-based Cruise Control,-,-
NCM,NiCoMn,"니켈+코발트+망간를 합성해서 만든 삼원계 배터리. 대용량 배터리 제조에도 무리가 없으며 수천번 충, 방전이 가능.",-
ND,NO DRAWING,도면이 없는.,-
NDA,Non-Disclosure Agreement,기밀유지 협약. 기업 간에 사업비밀을 공유하면서 사용을 제한할때 체결하는 계약,-
NEDC,New European Driving Cycle,(자동차 용어) 과거 유럽연합(EU)에서 채택한 자동차 연비 측정 방식.,-
NEEDLE VALVE,-,분사노즐 홀을 개폐시키는 바늘 모양의 밸브,-
NEWTRAL STEER,NEWTRAL STEER,언더 스티어나 오버 스티어가 아닌 정상적인 상태의 조향특성을 말한다. 일반적인 승용차량은 안전한 운전이 가능하도록 완만한 언더 스티어 특성을 같도록 설계하여 안전한 운행을 하도록 한다.,-
NFC,Near Field Communication,비접촉식 근거리 무선통신기술. 10cm 이내 거리에서 단말기 간 양방향 데이터 송수신 가능,-
NFDC,New European Driving Cycle,"유럽주행모드. (ref. FUDS, HWFET)",-
NGV,NATURAL GAS VECHICLE,"천연 가스 자동차. 1930년 이탈리아에서 개발이 시작된 천연가스 자동차는 연료 특성상 이산화탄소 배출량이 적고, 옥탄가가 높아 고압축화가 가능하며, 매장량이 풍부하여 현재는 시판후 개조에 의한 가솔린/CNG의 BI-FUEL 자동차가 이탈리아등 세계적으로 100만대 정도가",-
NHTSA,NATIONAL HIGH WAY TRAFFIC SAFETY ADMINISTRATION,북미 고속 도로 교통안전 위원회.,-
NLEV,NATIONAL LOW EMISSION VEHICLE,"미국 연방 저공해차 미국 연방주가 시행하는 것으로써, 캘리포니아주의 LEV 와 동일한 법규임",-
NLR,NON LOCKING RETRACTOR SEAT BELT,RETRACTING은 되지만 비상시 SEAT BELT가 LOCK'G 되진않는 BELT.,-
NO,NUMBER,번호.,-
NOM,NORMA OFFICIAL MEXICANA,멕시코표준규격제도. 멕시코 수출용 타이어 품질 인증 마크,-
NONCONFORMITY,NONCONFORMITY,한가지 이상의 품질특성 또는 품질시스템 요소가 규정된 요건에서 벗어나거나 빠져있어 규정된 요건을 충족시키지 못하는 것,-
NOTCH BACK,NOTCH BACK,"차체 뒤쪽의 유리창이 트렁크 쪽에서 꺽이면서 평평하게 계단식으로 돼 있다. 차체를 옆에서 보았을 때 엔진룸 승객룸 트렁크의 구분이 뚜렷, 세단형이라고도 말한다.",-
NPS,HYSRAULIC NORMAL POWER STEERING SYSTEM,유압 조향 장치. 운전자가 조향을 쉽게 할 수 있도록 유압을 공급 받아 바퀴를 회전 시키는 장치,-
NSCC-C,Navigation-based Smart Cruise Control-Curve,내비게이션 기반 스마트 크루즈 컨트롤-곡선로,-
NSCC-C,Navigation-based Smart Cruise Control-Curve,-,-
NSCC-R,Navigation-based Smart Cruise Control-Ramp,내비게이션 기반 스마트 크루즈 컨트롤-진출입로,-
NSCC-R,Navigation-based Smart Cruise Control-Ramp,-,-
NSCC-Z,Navigation-based Smart Cruise Control-Zone,내비게이션 기반 스마트 크루즈 컨트롤-안전구간,-
NSCC-Z,Navigation-based Smart Cruise Control-Zone,-,-
NTF,No Trouble Found,원인불명고장.,-
NUM,NUMBER,번호.,-
NVARM,NON VOLATILE RANDOM ACCESS MEMORY,"전원 ON시 RAM 기능을 부과하고, OFF시 ROM 기능을 끊고 기억 내용을 유지하는 성질을 가진 메모리.",-
NVH,NOISE VIBRATION HARSHNESS,"소음, 진동, 거칠음 등의 시험.",-
NVS,NIGHT VISION SYSTEM(나이트 비젼 시스템),"야간 주행시 HEADLIGHT 범위 밖의 상황을 적외선 카메라를 이용, 감지하여 WINDSHIELD에 HEAD UP DISPLAY로 보여줌. 적외선 카메라를 이용해 도로상의 사람/동물 등을 감지하여 HUD로 나타내는 시스템을 말함.",-
O/D,OVER DRIVE,"12V 전압이 TCU에 입력, 비입력에 따라 D렌지에서 1단에서 3단까지만 변속과, 1단에서 4단까지 변속이 가능하게 하는 장치.",-
O/D,OVER DRIVE,AUTO T/M에서 기어비가 1:1이상인 변속단.,-
O/D SW,OVER DRIVE SWITCH,A/TM 차량에서 가속력 증가 스윗치.,-
O/P SW,OIL PRESSURE SWITCH,엔진 윤활유 압축 스윗치.,-
O/S HNDL SW,OUTSIDE HANDLE SWITCH,O/S MIRROR를 조작하기 위한 스위치.,-
O/S HTD MIRR,OUTSIDE HEATED MIRROR,백미러 열선. 성에 제거용 스윗치.,-
O/S MIRR & FOLD MTR,OUTSIDE MIRROR AND FOLD MOTOR,바깥쪽에 있는 후방 감시용 유리와 O/S MIRROR를 하차시 접을 수 있도록 하는 모터.,-
O/S MIRR MTR,OUTSIDE MIRROR MOTOR,O/S MIRROR를 예전엔 손으로 수동 조작을 하였으나 요즘엔 모터를 이용하여 실내에서 스위치를 이용하여 조작한다.,-
O/S MIRR SW,OUTSIDE MIRROR SWITCH,백미러 작동 스윗치. 스윗치를 조작하여 좌/우의 BACK MIRROR를 상/하/좌/우로 원활하게 조작하는 기능.,-
O/T SNSR,OIL TEMPERATURE SENSOR,엔진 윤활유 온도 감지기.,-
O2 SNSR,O2 SENSOR,배기중의 산소 농도가 이론 공연비에 비하여 희박한지 농후한지를 판단하는 센서.,-
O2 SNSR,OXYGEN SENSOR,"산소 농도 감지기. EXHAUST MANIFOLD에 부착되어 배기 가스 중의 산소 농도를 검출하여 ECU로 FEED BACK하여 공연비를 조정하게 한다. 배기 가스 중에 산소가 얼마나 포함되어 있나 즉, 공기와 연료의 비율이 이론 공연비보다 더 진하면 약 1V를 출력하며 비율이 연하면 O V",-
O2 SNSR CHK,OXYGEN SENSOR CHECKER,"산소 농도 감지기. 점검 장치. O2 SNSR에 금으로 된 얇은 판이 끊어졌는지 여부를 점검하는 장치. 농후하면 1V, 희박하면 0V.",-
OBC,On Board Charger,탑재형 충전기. 상용 AC 전원을 사용하여 플러그인 하이브리드차 및 전기차에 탑재되어있는 직류(DC) 고전압 배터리를 충전하는 장치 / 충전기의 AC 입력을 배터리의 DC로 변환하는 장치,-
OBD,ON BOARD DIAGNOSTIC,자기 진단 장치. 차량의 power train system 중 배출가스에 영향을 주는 각종 부품 및 system에 대한 자기 고장 진단 시스템,-
OBD II,ON BOARD DIAGNOSTICSⅡ,자기 진단 장치. E/M 규제 초과 원인이 되는 E/M 관련 부품의 오작동 혹은 열화를 감지하여 경고등 점등이 되게하는 장치,-
OBJ,OUT BOARD JOINT,D/SHAFT 조인트중 차량 외측(WHEEL)에 장착되는 조인트 주로 BJ가 장착됨,-
OC,OVERALL CIRCLE,타이어 원주 길이,-
OCC,OXIDIZING CATALYTIC CONVERTER,산화 촉매 반응기.,-
OCS,OCCUPIED CLASSIFICATION SENSOR,보조석 탐승 감지 센서. ODS 또는 PODS와 유사하나 다수의 셀들이 배치되어 승객의 앉은 부위 형상을 감지,-
OCV,Oil Control Valve,오일 컨트롤 밸브는 CVVT의 핵심부품으로 오일펌프로부터 공급된 엔진오일을 ECU의 제어를 받아 CVVT로 가는 유체 통로의 방향을 변경시켜 밸브 개폐시기를 조정하는 역할을 한다.,-
OD,OUTSIDE DIAMETER,완충 장치를 하지 않으면 충격에 의해 손상이 될 수 있으므로 완충 장치를 두어 충격이 젖혀지도록 한 장치.,-
ODO,ODOMETER,(자동차의) 주행 기록계(計),-
ODS,Occupant Detection System / Sensor,동승석의 승원의 탑승유무나 승원 식별하는 시스템,-
OEC,Outside Electro Chromic mirror,사이드 미러 광량 조절 기능. ref: : ECM (Electronic Chromic Mirror) - 룸미러 광량 조절 기능,-
OEM,ORDER EQUIPMENT MANUFACTURING,주문자 상표 생산 방식.,-
OEM,ORIGINAL EQUIPMENT MANUFACTURING,주문자 상표 부착 방식. 생산 라인.,-
OF,OPTICAL FIBER,광섬유를 이용한 차세대 WIRE.,-
OH,ON HEAD,보유 재고.,-
OH,OVER-HANG,"차축, 중심에서 차체의 앞 또는 뒤 끝까지의 수평거리.",-
OHSAS,Occupational Health & Safety Management System,영국표준협회가 중심이 돼 제정한 조직의 보건과 안전경영시스템에 관한 국제 표준. 조직이 자율적으로 산업재해를 예방하기 위해 위험 요인을 파악하고 지속적으로 관리하는 등 규격의 요구사항을 만족할 경우 제3자 인증기관의 심사를 거쳐 OHSAS 18001 인증을 취득할 수 있다.,-
OICA,-,세계 자동차 공업 협회.,-
